Step,AgentID,Agent census ID,Preference,Power,Proximity,Utility,Influence Message,Ideology,Stakeholder Pref,Agent Type
1,1,24076,67.00067838705431,0.772162552,0.0435293407790591,77.21625519999999,0.00019573859365190646,0.0,61.0,House
1,2,24079,41.726409419465874,0.471625521,0.0280662401955195,47.1625521,5.252276704264229e-05,0.0,61.0,House
1,3,24078,41.0525085941775,0.446928102,0.0277786992382735,44.6928102,4.883402601876154e-05,0.0,61.0,House
1,4,24075,38.30583005421454,0.55080755,0.0261558030096542,55.080755,5.3862702232855145e-05,0.0,61.0,House
1,5,24080,34.073173001201596,0.584592417,0.0240748018668146,58.4592417,4.9103665107772305e-05,0.0,13.0,House
1,6,27799,50.53180978588963,0.66260971125,0.0220538633725555,54.5572944977973,9.488182084332865e-05,0.0,61.0,House
1,7,24063,42.5679180533459,1.00058362,0.0205804604243751,80.86372412279641,0.00015113454301926313,1.0,61.0,House
1,8,24081,26.969514872579087,0.905929384,0.019513124380375,90.5929384,5.199972825266531e-05,0.0,13.0,House
1,9,24074,26.198306974140536,0.629368387,0.0190227574335411,62.9368387,3.4512982946364044e-05,0.0,13.0,House
1,10,24064,25.47088933117536,0.645930186,0.0187640355594089,64.5930186,3.4563146140574456e-05,0.0,13.0,House
1,11,27798,22.23781497493349,0.536480042,0.0168898328473431,53.6480042,2.3801406022932026e-05,0.0,13.0,House
1,12,24065,21.64649627896633,0.632514428,0.0163097766792522,63.2514428,2.6380231080598763e-05,0.0,13.0,House
1,13,24082,66.74948557936258,0.7065691125,0.0157861332048924,56.755264560297306,9.579799671481594e-05,2.0,61.0,House
1,14,24073,19.03015304919416,0.593068692,0.0147430990217619,59.3068692,2.07152581877429e-05,0.0,13.0,House
1,15,27780,18.07264905342465,0.698180507,0.0141849021709291,69.8180507,2.280000274108066e-05,0.0,13.0,House
1,16,24066,17.655067241425325,0.530708961,0.0139851478546887,53.0708961,1.6909030703407204e-05,0.0,13.0,House
1,17,27782,17.51226701686361,0.438021,0.0139409084502296,43.8021,1.3879315833099847e-05,0.0,13.0,House
1,18,27797,40.39652296190351,0.493277092,0.0135513751637071,49.3277092,1.889173445716135e-05,1.0,61.0,House
1,19,27778,15.397247092989195,0.56683833,0.0126015667552927,56.68383299999999,1.5087466797627634e-05,0.0,13.0,House
1,20,24083,15.220600983066037,0.681829112,0.0124926484297506,68.18291119999999,1.7879973559368562e-05,0.0,13.0,House
1,21,24093,15.22630943802215,0.610141472,0.0124672310598412,61.0141472,1.5944314978857587e-05,0.0,13.0,House
1,22,24072,14.520062283438476,0.76563001,0.0120353722139936,76.563001,1.8836983058323795e-05,0.0,13.0,House
1,23,24067,14.3925612437963,0.524216496,0.011983869566076,52.4216496,1.2803409868007251e-05,0.0,13.0,House
1,24,24061,34.41154698967651,0.570886101,0.0119608296244611,57.0886101,1.7994540552498675e-05,1.0,13.0,House
1,25,24062,39.93467191903097,0.7064438725,0.0119316474198685,56.532482730120364,6.459674594331648e-05,2.0,61.0,House
1,26,24092,33.40128477242895,0.474410869,0.0118718567712823,47.4410869,1.4782237583001368e-05,1.0,13.0,House
1,27,27800,14.223487158445176,0.318228499,0.0118603954219798,31.8228499,7.636374886377127e-06,0.0,13.0,House
1,28,27779,32.91011823351263,0.473509138,0.0117068053290595,47.3509138,1.4439226158216693e-05,1.0,13.0,House
1,29,24060,13.778291480226256,0.66544766,0.0115937740369823,66.544766,1.5362615174758684e-05,0.0,13.0,House
1,30,27783,13.650319165858205,0.630280138,0.0115149753533092,63.0280138,1.4383209627587198e-05,0.0,13.0,House
1,31,24091,13.618430842636606,0.66070856,0.0114885017109195,66.070856,1.5018818412975098e-05,0.0,13.0,House
1,32,27796,13.285072551366962,0.455294165,0.0112858140161731,45.5294165,1.004189533385669e-05,0.0,13.0,House
1,33,24059,12.68513551942299,0.549655338,0.0109126759660025,54.9655338,1.145370979190179e-05,0.0,13.0,House
1,34,27777,12.6040570312129,0.884167602,0.0108677140037768,88.4167602,1.8296516367880426e-05,0.0,13.0,House
1,35,24090,12.607251206211613,0.705244069,0.0108630514780907,70.5244069,1.4583415840535232e-05,0.0,13.0,House
1,36,24094,12.013087308971523,0.462788554,0.0104881727092932,46.278855400000005,9.021190799606934e-06,0.0,13.0,House
1,37,24068,28.67391541303305,0.685235652,0.0103985318258338,68.52356520000001,1.7441833345281993e-05,1.0,13.0,House
1,38,27802,11.767750178516733,0.420437239,0.010338125935777,42.0437239,8.000120694398253e-06,0.0,13.0,House
1,39,24058,11.406837710434706,0.64653134,0.0101457432861836,64.653134,1.1921894891182585e-05,0.0,13.0,House
1,40,27762,27.7105549684998,0.711956957,0.0101365360537529,71.19569569999999,1.7438507708282305e-05,1.0,13.0,House
1,41,24089,47.097494547797396,0.65889006875,0.0100829233083288,52.91217349565643,4.7965690825771065e-05,2.0,61.0,House
1,42,27784,26.652463419744034,0.609921048,0.0098039433520385,60.9921048,1.4210433790449983e-05,1.0,13.0,House
1,43,27801,10.77832693281207,0.408414155,0.0097582734529342,40.8414155,7.058144880777334e-06,0.0,13.0,House
1,44,27795,10.673539353020615,0.518756012,0.0096571422231452,51.8756012,8.811347279876254e-06,0.0,13.0,House
1,45,27776,10.551174656453277,0.665187159,0.0096086091322885,66.5187159,1.120455207192415e-05,0.0,13.0,House
1,46,27763,26.002158654607214,0.579352357,0.0094598629717817,57.9352357,1.2798192778172767e-05,1.0,13.0,House
1,47,24071,10.322083878123957,0.937459923,0.0094367432888692,93.7459923,1.532587684788812e-05,0.0,13.0,House
1,48,27817,25.640045373987356,0.433762825,0.0094071733558031,43.3762825,9.502874795686949e-06,1.0,13.0,House
1,49,24057,9.992011113288784,0.50932791,0.009296542826093,50.932791,8.1232762954349e-06,0.0,13.0,House
1,50,24088,9.969074384264056,0.740141071,0.0092566817909382,74.0141071,1.1721131575373787e-05,0.0,13.0,House
1,51,24084,24.847512700539493,1.113087127,0.0092410974871066,111.3087127,2.375001006031503e-05,1.0,13.0,House
1,52,27816,9.706912841951338,0.457488378,0.0091265522742042,45.7488378,7.077897000027985e-06,0.0,13.0,House
1,53,24069,9.715682589374463,0.583830955,0.0091174600285102,58.3830955,9.017762613264356e-06,0.0,13.0,House
1,54,27764,9.203706616546336,0.447409025,0.0087729016746096,44.7409025,6.487161280598926e-06,0.0,13.0,House
1,55,27815,23.216235912656405,0.529216095,0.0086166396365102,52.9216095,1.0187169034828587e-05,1.0,13.0,House
1,56,27785,22.894387073199844,0.496212728,0.0085558657671102,49.6212728,9.45353704522087e-06,1.0,13.0,House
1,57,27775,22.63464401349671,0.507955274,0.0085553495202996,50.7955274,9.67639562075647e-06,1.0,13.0,House
1,58,27803,8.766105619405764,0.929785188,0.0085537767723816,92.9785188,1.29354669394022e-05,0.0,13.0,House
1,59,24056,22.691643387923236,0.544916239,0.0085007080179417,54.49162389999999,1.0283819488644837e-05,1.0,13.0,House
1,60,24087,8.657419191669124,0.609720664,0.0084653413139116,60.9720664,8.34015264351824e-06,0.0,13.0,House
1,61,27794,8.588596286217944,0.413493908,0.0084335087708058,41.3493908,5.62144706802715e-06,0.0,13.0,House
1,62,24095,8.632546426201717,0.373986944,0.0084065102574463,37.3986944,5.0578876614665e-06,0.0,13.0,House
