id,Population
2,1.0
644,1.0
645,1.0
646,1.0
654,1.0
655,1.0
656,1.0
657,1.0
658,1.0
664,1.0
643,1.0
666,1.0
668,1.0
669,1.0
671,1.0
677,1.0
678,1.0
679,1.0
680,1.0
681,1.0
682,1.0
667,1.0
642,1.0
641,1.0
640,1.0
608,1.0
611,1.0
612,1.0
613,1.0
614,1.0
619,1.0
620,1.0
1867,0.294
623,1.0
624,1.0
625,1.0
626,1.0
631,1.0
632,1.0
633,1.0
634,1.0
635,1.0
636,1.0
637,1.0
638,1.0
639,1.0
683,1.0
607,1.0
684,1.0
686,1.0
722,1.0
723,1.0
724,1.0
727,1.0
728,1.0
729,1.0
730,1.0
731,1.0
732,1.0
721,1.0
733,1.0
735,1.0
736,1.0
737,1.0
738,1.0
739,1.0
740,1.0
741,1.0
745,1.0
746,1.0
734,1.0
719,1.0
718,1.0
717,1.0
688,1.0
689,1.0
690,1.0
698,1.0
699,1.0
701,1.0
702,1.0
703,1.0
704,1.0
705,1.0
706,1.0
707,1.0
708,1.0
709,1.0
710,1.0
711,1.0
712,1.0
713,1.0
714,1.0
715,1.0
716,1.0
685,1.0
606,1.0
605,1.0
604,1.0
478,1.0
483,1.0
484,1.0
485,1.0
493,1.0
494,1.0
495,1.0
496,1.0
497,1.0
477,1.0
500,1.0
502,1.0
503,1.0
512,1.0
513,1.0
514,1.0
516,1.0
517,1.0
518,1.0
519,1.0
501,1.0
476,1.0
475,1.0
474,1.0
443,1.0
444,1.0
445,1.0
446,1.0
447,1.0
448,1.0
452,1.0
453,1.0
454,1.0
455,1.0
456,1.0
457,1.0
458,1.0
466,1.0
467,1.0
468,1.0
469,1.0
470,1.0
471,1.0
472,1.0
473,1.0
520,1.0
524,1.0
525,1.0
526,1.0
565,1.0
577,1.0
578,1.0
579,1.0
580,1.0
582,1.0
583,1.0
584,1.0
585,1.0
586,1.0
588,1.0
590,1.0
591,1.0
592,1.0
593,1.0
594,1.0
595,1.0
596,1.0
597,1.0
598,1.0
603,1.0
564,1.0
747,1.0
563,1.0
560,1.0
527,1.0
528,1.0
529,1.0
530,1.0
531,1.0
532,1.0
533,1.0
534,1.0
535,1.0
536,1.0
544,1.0
545,1.0
546,1.0
547,1.0
548,1.0
549,1.0
555,1.0
556,1.0
557,1.0
558,1.0
559,1.0
562,1.0
440,1.0
749,1.0
751,1.0
1146,0.69
1147,0.69
1148,0.69
1149,0.69
1159,1.0
1160,1.0
1161,1.0
1162,1.0
1178,1.0
1145,0.69
1179,1.0
1238,1.0
1268,0.805
1307,1.0
1350,0.634
1379,0.635
1393,0.614
1402,1.152
1403,1.152
1404,1.152
1216,0.672
1144,1.0
1143,1.0
1104,1.0
992,1.0
993,1.0
994,1.0
996,1.0
997,1.0
1009,1.0
1010,1.0
1011,1.0
1012,1.0
1013,1.0
1014,1.0
1015,1.0
1019,1.0
1027,1.0
1036,1.616
1037,1.616
1038,1.616
1048,1.0
1079,1.0
1080,1.0
1081,1.0
1405,1.152
991,1.0
1406,1.152
1411,0.587
1656,1.135
1657,1.135
1658,1.135
1659,1.135
1663,1.09
1664,1.089
1759,0.571
1760,0.571
1853,0.402
1655,0.976
1854,0.402
1856,0.35
1859,0.33
1860,0.33
1861,0.33
1862,0.33
1863,0.33
1864,0.33
1865,0.294
1866,0.294
1855,0.35
1654,0.976
1652,1.185
1651,1.185
1412,0.587
1429,0.52
1430,0.52
1438,0.681
1439,0.681
1440,0.681
1441,0.681
1444,1.2
1445,1.2
1471,5.452
1472,5.452
1473,5.452
1474,5.452
1519,1.152
1520,1.152
1599,1.152
1600,1.152
1601,1.152
1602,1.152
1649,1.192
1650,1.192
1407,1.152
990,1.0
988,1.0
987,1.0
836,1.0
837,1.0
839,1.0
840,1.0
841,1.0
842,1.0
845,1.0
846,1.0
849,1.0
831,1.0
851,1.0
853,1.0
854,1.0
855,1.0
856,1.0
857,1.0
858,1.0
859,1.0
862,1.0
872,1.0
852,1.0
820,1.0
819,1.0
815,1.0
753,1.0
754,1.0
755,1.0
756,1.0
768,1.0
769,1.0
770,1.0
776,1.0
777,1.0
778,1.0
780,1.0
783,1.0
801,1.0
802,1.0
803,1.0
804,1.0
805,1.0
811,1.0
812,1.0
813,1.0
814,1.0
873,1.0
874,1.0
875,1.0
876,1.0
951,1.0
952,1.0
953,0.807
954,0.807
956,0.805
957,0.805
958,0.805
959,0.805
966,0.797
967,0.797
968,0.797
969,0.797
970,1.0
971,1.0
972,1.0
975,1.0
976,1.0
977,1.0
978,1.0
979,1.0
980,1.0
938,1.0
750,1.0
933,1.0
918,1.0
877,1.0
878,1.0
883,1.0
884,1.0
885,1.0
886,1.0
887,1.0
888,1.0
892,1.0
893,1.0
894,1.0
895,1.0
896,1.0
897,1.0
900,1.0
904,1.0
905,1.0
906,1.0
915,1.0
916,1.0
917,1.0
932,1.0
439,1.0
621,1.0
436,1.0
166,1.0
167,1.0
168,1.0
169,1.0
170,1.0
438,1.0
184,1.0
185,1.0
186,1.0
165,1.0
187,1.0
189,1.0
190,1.0
191,1.0
192,1.0
193,1.0
194,1.0
195,1.0
196,1.0
197,1.0
188,1.0
164,1.0
163,1.0
162,1.0
134,1.0
135,1.0
136,1.0
137,1.0
138,1.0
139,1.0
140,1.0
141,1.0
142,1.0
143,1.0
144,1.0
145,1.0
149,1.0
150,1.0
151,1.0
152,1.0
153,1.0
156,1.0
159,1.0
160,1.0
161,1.0
201,1.0
202,1.0
203,1.0
209,1.0
247,1.0
248,1.0
249,1.0
250,1.0
251,1.0
254,1.0
256,1.0
257,1.0
258,1.0
259,1.0
260,1.0
261,1.0
264,1.0
265,1.0
266,1.0
267,1.0
268,1.0
269,1.0
270,1.0
284,1.0
285,1.0
246,1.0
133,1.0
242,1.0
240,1.0
210,1.0
214,1.0
216,1.0
217,1.0
219,1.0
220,1.0
224,1.0
225,1.0
226,1.0
227,1.0
228,1.0
229,1.0
230,1.0
231,1.0
232,1.0
233,1.0
234,1.0
236,1.0
237,1.0
238,1.0
239,1.0
241,1.0
286,1.0
132,1.0
130,1.0
32,1.0
34,1.0
35,1.0
36,1.0
37,1.0
38,1.0
