











id,power,lon,lat,ideology,idatt,proximity,own_pref,utility,salience,im,tpreference
2,0.8926,-122.64703,45.56651,-1.0,-1.0,0.0008049017649401001,-0.459754911752995,89.25999999999999,0.0008049017649401001,-1.321253440494184e-06,-0.00037005753990986565
644,0.44593,-122.64703,45.56651,-1.0,-1.0,0.0008049017649401001,-0.459754911752995,44.592999999999996,0.0008049017649401001,-6.600790350880255e-07,-0.00037005753990986565
645,0.44593,-122.64703,45.56651,-1.0,-1.0,0.0008049017649401001,-0.459754911752995,44.592999999999996,0.0008049017649401001,-6.600790350880255e-07,-0.00037005753990986565
646,0.44505,-122.64703,45.56651,-1.0,-1.0,0.0008049017649401001,-0.459754911752995,44.505,0.0008049017649401001,-6.587764325475427e-07,-0.00037005753990986565
654,0.44311,-122.64703,45.56651,-1.0,-1.0,0.0008049017649401001,-0.459754911752995,44.311,0.0008049017649401001,-6.559047860378423e-07,-0.00037005753990986565
655,0.44311,-122.64703,45.56651,0.0,0.0,0.0008049017649401001,0.040245088247005005,44.311,0.0008049017649401001,5.741525608737325e-08,3.239334256018441e-05
656,0.44311,-122.64703,45.56651,0.0,0.0,0.0008049017649401001,0.040245088247005005,44.311,0.0008049017649401001,5.741525608737325e-08,3.239334256018441e-05
657,0.44311,-122.64703,45.56651,-1.0,-1.0,0.0008049017649401001,-0.459754911752995,44.311,0.0008049017649401001,-6.559047860378423e-07,-0.00037005753990986565
658,0.44311,-122.64703,45.56651,-1.0,-1.0,0.0008049017649401001,-0.459754911752995,44.311,0.0008049017649401001,-6.559047860378423e-07,-0.00037005753990986565
664,0.44195,-122.64703,45.56651,-1.0,-1.0,0.0008049017649401001,-0.459754911752995,44.195,0.0008049017649401001,-6.541877190526604e-07,-0.00037005753990986565
643,0.44593,-122.64703,45.56651,-1.0,-1.0,0.0008049017649401001,-0.459754911752995,44.592999999999996,0.0008049017649401001,-6.600790350880255e-07,-0.00037005753990986565
666,0.44163,-122.64703,45.56651,0.0,0.0,0.0008049017649401001,0.040245088247005005,44.163000000000004,0.0008049017649401001,5.722348749941697e-08,3.239334256018441e-05
668,0.44163,-122.64703,45.56651,0.0,0.0,0.0008049017649401001,0.040245088247005005,44.163000000000004,0.0008049017649401001,5.722348749941697e-08,3.239334256018441e-05
669,0.44013,-122.64703,45.56651,-1.0,-1.0,0.0008049017649401001,-0.459754911752995,44.013000000000005,0.0008049017649401001,-6.514937001621166e-07,-0.00037005753990986565
671,0.44013,-122.64703,45.56651,-1.0,-1.0,0.0008049017649401001,-0.459754911752995,44.013000000000005,0.0008049017649401001,-6.514937001621166e-07,-0.00037005753990986565
677,0.43636,-122.64703,45.56651,-1.0,-1.0,0.0008049017649401001,-0.459754911752995,43.636,0.0008049017649401001,-6.459132324602759e-07,-0.00037005753990986565
678,0.43636,-122.64703,45.56651,-1.0,-1.0,0.0008049017649401001,-0.459754911752995,43.636,0.0008049017649401001,-6.459132324602759e-07,-0.00037005753990986565
679,0.43636,-122.64703,45.56651,0.0,0.0,0.0008049017649401001,0.040245088247005005,43.636,0.0008049017649401001,5.654063583824827e-08,3.239334256018441e-05
680,0.43636,-122.64703,45.56651,-1.0,-1.0,0.0008049017649401001,-0.459754911752995,43.636,0.0008049017649401001,-6.459132324602759e-07,-0.00037005753990986565
