Step,AgentID,Preference,NGO Message,Disruption,Power,Utility
1,410670314033,31.78657915297683,4.5,1.0,24.1596532,2415.96532
1,410710308012,24.137898854108077,4.5,1.0,7.331786586,733.1786586
1,410110003004,27.51922897832713,4.5,1.0,7.46658096,789.7438553906206
1,410510025016,37.94160632692788,4.5,1.0,140.62120208,14062.120207999998
1,410510067011,39.13163097460577,4.5,1.0,71.47416224,7147.416224
1,410390034002,31.573331977039587,4.5,1.0,6.140999186,614.0999186
1,410050243041,33.088517812033665,4.5,1.0,0.147555864,14.7555864
1,410170004023,34.76813853892865,4.5,1.0,110.73470738,11073.470738
1,410191200002,31.806039262446255,4.5,1.0,2.737149155,329.0056054323653
1,410670317031,27.191361825104416,4.5,1.0,10.647018176,1064.7018176
1,410599505004,33.27324088720901,4.5,1.0,24.02696728,2402.696728
1,410510049003,33.52021051176442,4.5,1.0,34.84403012,3484.403012
1,410510097011,30.325305648828618,4.5,1.0,1.85779462,185.779462
1,410290004061,34.635143079280915,4.5,1.0,6.265254426,626.5254426
1,410459703005,33.077621666751256,4.5,1.0,2.84123018,284.123018
1,410390025032,32.664827592919636,4.5,1.0,10.632868274,1063.2868274
1,410290004052,33.756604937639665,4.5,1.0,10.330866942,1033.0866942
1,410659703003,33.499936104346475,4.5,1.0,10.6133223375,1621.0699824181645
1,410510093012,36.23688820445798,4.5,1.0,13.670083146,1367.0083146
1,410670324102,36.60842450886068,4.5,1.0,4.755301988,475.5301988000001
1,410359713003,22.978703011862144,4.5,1.0,1.36507011,182.85057632171174
1,410710308021,24.915260308790206,4.5,1.0,3.994321306,399.4321306
1,410670321083,31.67508154356182,4.5,1.0,49.97731326,4997.731326
1,410510098031,34.02148031311017,4.5,1.0,9.063794478,906.3794478
1,410670318122,32.767734264288464,4.5,1.0,22.63520604,2263.520604
1,410050218022,27.55758597233871,4.5,1.0,0.0695323,6.9532300000000005
1,410670312003,28.227143022712145,4.5,1.0,13.532586284,1353.2586284
1,410510082012,29.115522977888006,4.5,1.0,22.12497572,2212.497572
1,410390019042,33.17259647837328,4.5,1.0,5.093043938,509.3043938
1,410470006003,28.412312232873475,4.5,1.0,7.185547476,718.5547476
1,410050218012,26.822999929619765,4.5,1.0,0.316298056,31.6298056
1,410050219001,28.79124544418508,4.5,1.0,0.070218244,7.0218244
1,410670302003,27.15075518199826,4.5,1.0,49.89964536,4989.964536
1,410419503032,28.290447736296336,4.5,1.0,13.872219108,1387.2219108
1,410290001001,16.710097726263076,4.5,1.0,0.8014672374999999,186.61603248514916
1,410050232022,25.975938124419237,4.5,1.0,0.280377398,28.0377398
1,410170002004,25.513717520273456,4.5,1.0,0.0,149.6993959430534
1,410030001003,21.446463814025837,4.5,1.0,0.003188376,0.3188376
1,410670320053,30.46704983317593,4.5,1.0,6.57584675,657.5846750000001
1,410333614001,35.62760527288614,4.5,1.0,8.490289996,849.0289995999999
1,410170011003,33.72766674128558,4.5,1.0,23.91796312,2391.796312
1,410510089022,28.623808917004567,4.5,1.0,3.35807802,335.80780200000004
1,410670321031,30.766676559537437,4.5,1.0,53.93332348,5393.332348
1,410190900004,22.037297283157653,4.5,1.0,3.808278206,380.8278206
1,410470011002,29.404197451031532,4.5,1.0,18.304701006,1830.4701006
1,410510067021,37.375920073789004,4.5,1.0,26.186222,2618.6222
1,410470016023,21.751938298847726,4.5,1.0,4.2417579275,498.29510586488857
1,410333610002,21.944815674762843,4.5,1.0,5.76745227,897.5195081759996
1,410110001004,29.702966792153337,4.5,1.0,1.0476435275,468.79698376562055
1,410170017004,35.460919933956575,4.5,1.0,16.668000837500003,2395.724251867052
1,410670309001,37.11278837480341,4.5,1.0,8.556172976,855.6172975999999
1,410050225001,21.42584331020345,4.5,1.0,0.08249482000000001,8.292719899625805
1,410050216022,25.692029269866982,4.5,1.0,0.24548416,24.548416
1,410390021021,25.041638153143598,4.5,1.0,2.430049582,243.0049582
1,410510104021,31.115968489406786,4.5,1.0,18.037706442,1803.7706442
1,410470016014,29.951508657738074,4.5,1.0,11.08514332,1108.514332
1,410050235001,25.752113348656856,4.5,1.0,0.066721788,6.6721788
