Step,AgentID,Regulator preference
16,21bc65c5-9dd7-49af-8dce-71bec132cc42,15.0
16,b6fae1b3-fa56-4993-b48b-ed07fe20a958,1.5
16,1249b688-8834-4491-a247-f28a7d4b4f0f,30.0
16,eb5378f6-f083-4fb5-9b5a-be50a27a825a,30.0
16,64b3469c-c059-4133-9330-6a4590452c18,30.0
17,21bc65c5-9dd7-49af-8dce-71bec132cc42,15.0
17,b6fae1b3-fa56-4993-b48b-ed07fe20a958,1.5
17,1249b688-8834-4491-a247-f28a7d4b4f0f,30.0
17,eb5378f6-f083-4fb5-9b5a-be50a27a825a,30.0
17,64b3469c-c059-4133-9330-6a4590452c18,30.0
18,21bc65c5-9dd7-49af-8dce-71bec132cc42,15.0
18,b6fae1b3-fa56-4993-b48b-ed07fe20a958,1.5
18,1249b688-8834-4491-a247-f28a7d4b4f0f,30.0
18,eb5378f6-f083-4fb5-9b5a-be50a27a825a,30.0
18,64b3469c-c059-4133-9330-6a4590452c18,30.0
19,21bc65c5-9dd7-49af-8dce-71bec132cc42,15.0
19,b6fae1b3-fa56-4993-b48b-ed07fe20a958,1.5
19,1249b688-8834-4491-a247-f28a7d4b4f0f,30.0
19,eb5378f6-f083-4fb5-9b5a-be50a27a825a,30.0
19,64b3469c-c059-4133-9330-6a4590452c18,30.0
20,21bc65c5-9dd7-49af-8dce-71bec132cc42,15.0
20,b6fae1b3-fa56-4993-b48b-ed07fe20a958,1.5
20,1249b688-8834-4491-a247-f28a7d4b4f0f,30.0
20,eb5378f6-f083-4fb5-9b5a-be50a27a825a,30.0
20,64b3469c-c059-4133-9330-6a4590452c18,30.0
21,21bc65c5-9dd7-49af-8dce-71bec132cc42,15.0
21,b6fae1b3-fa56-4993-b48b-ed07fe20a958,1.5
21,1249b688-8834-4491-a247-f28a7d4b4f0f,30.0
21,eb5378f6-f083-4fb5-9b5a-be50a27a825a,30.0
21,64b3469c-c059-4133-9330-6a4590452c18,30.0
22,21bc65c5-9dd7-49af-8dce-71bec132cc42,15.0
22,b6fae1b3-fa56-4993-b48b-ed07fe20a958,1.5
22,1249b688-8834-4491-a247-f28a7d4b4f0f,29.999999999531017
22,eb5378f6-f083-4fb5-9b5a-be50a27a825a,29.999999999531017
22,64b3469c-c059-4133-9330-6a4590452c18,30.0
23,21bc65c5-9dd7-49af-8dce-71bec132cc42,15.0
23,b6fae1b3-fa56-4993-b48b-ed07fe20a958,9.642857142771003
23,1249b688-8834-4491-a247-f28a7d4b4f0f,29.999999999531017
23,eb5378f6-f083-4fb5-9b5a-be50a27a825a,29.999999999531017
23,64b3469c-c059-4133-9330-6a4590452c18,9.642857142771003
24,21bc65c5-9dd7-49af-8dce-71bec132cc42,15.0
24,b6fae1b3-fa56-4993-b48b-ed07fe20a958,9.642857142771003
24,1249b688-8834-4491-a247-f28a7d4b4f0f,29.999999999531017
24,eb5378f6-f083-4fb5-9b5a-be50a27a825a,29.999999999531017
24,64b3469c-c059-4133-9330-6a4590452c18,9.642857142771003
25,21bc65c5-9dd7-49af-8dce-71bec132cc42,15.0
25,b6fae1b3-fa56-4993-b48b-ed07fe20a958,9.642857142771003
25,1249b688-8834-4491-a247-f28a7d4b4f0f,29.999999999531017
25,eb5378f6-f083-4fb5-9b5a-be50a27a825a,29.999999999531017
25,64b3469c-c059-4133-9330-6a4590452c18,9.642857142771003
26,21bc65c5-9dd7-49af-8dce-71bec132cc42,15.0
26,b6fae1b3-fa56-4993-b48b-ed07fe20a958,9.642857142771003
26,1249b688-8834-4491-a247-f28a7d4b4f0f,29.999999999531017
26,eb5378f6-f083-4fb5-9b5a-be50a27a825a,29.999999999531017
26,64b3469c-c059-4133-9330-6a4590452c18,9.642857142771003
