id,Population
410670314033,1455
410710308012,1986
410110003004,1013
410510025016,572
410510067011,1937
410390034002,1116
410050243041,1940
410170004023,252
410191200002,1666
410670317031,1577
410599505004,923
410510049003,1444
410510097011,3308
410290004061,1868
410459703005,868
410390025032,1514
410290004052,2191
410659703003,954
410510093012,1710
410670324102,1643
410359713003,764
410710308021,2583
410670321083,1225
410510098031,2267
410670318122,3062
410050218022,2656
410670312003,2714
410510082012,1209
410390019042,1723
410470006003,1406
410050218012,1832
410050219001,2783
410670302003,1966
410419503032,536
410290001001,1215
410050232022,1885
410170002004,685
410030001003,1464
410670320053,2664
410333614001,1232
410170011003,6662
410510089022,1123
410670321031,2639
410190900004,1693
410470011002,2122
410510067021,2527
410470016023,2367
410333610002,1276
410110001004,1058
410170017004,2228
410670309001,2618
410050225001,2639
410050216022,1096
410390021021,2170
410510104021,1836
410470016014,1448
410050235001,1374
410670318121,2570
410050226053,3134
410510074001,1457
410510038011,1128
410110008002,2075
410390027001,2633
410170003001,3368
410530202022,2140
410510098033,2382
410510104091,5064
410290010011,1879
410191500001,2112
410619701004,706
410050222071,4921
410390037002,1577
410170008001,4777
410099705003,723
410030106003,1038
410670310034,2541
410670321082,1419
410290006022,2295
410390032012,2262
410470002003,1939
410159502002,1829
410670315044,2646
410470105022,2722
410710307021,2081
410470015011,1552
410390007071,1393
410530202032,858
410219601001,875
410670316131,1422
410510005014,1112
410670315112,700
410390009023,1571
410670330003,1396
410470028001,1431
410170019022,1693
410470104004,1437
410430305002,2044
410390030002,2162
410470012001,1679
410290029003,1625
410390028003,1235
410170003002,3020
410050230022,2561
410390022023,3062
410670316162,2368
410191800004,958
410510001002,1110
410659702003,951
410510033012,1013
410099703002,936
410050227072,5084
410290010021,2713
410099708002,2569
410510101002,4732
410639603002,682
410670314042,723
410050225004,733
410099707001,999
410510010005,1770
410170010013,1877
410670324042,1396
410390004034,1663
410470027001,3140
410510083012,2896
410670316132,888
410670316134,3220
410470107014,2514
410510051002,2602
410670325021,3073
410510036013,1413
410670330002,1564
410510093013,2842
410510004023,1424
410050239021,2175
410030005002,1352
410510094004,1461
410670318041,2472
410170011002,2326
410050226031,4054
410430208023,1605
410050236002,1293
410333607021,2725
410390001002,1433
410470011003,1514
410510061001,1283
410470028002,2640
410050227082,2821
410470025021,1854
410710305014,1824
410390016003,1078
410530203023,3428
410670319111,2981
410190500012,1614
410390025013,1604
410670319091,3080
410319602021,1305
410470025022,2598
410470108022,1635
410390048001,1907
410510063002,1673
410390045023,1916
410670329022,2993
410170002002,846
410510104072,1717
410470012002,2102
410333606001,1837
410050202004,1963
410510085001,3543
410510047002,1439
410670302004,1794
410470023043,2184
410050226061,5079
410670319082,3863
410670324091,2285
410290004032,878
410670315041,1594
410390018011,2337
410290016022,1579
410030010011,1173
410191800001,922
410510106002,1509
410359716003,1164
410192100005,646
410510037011,1278
410470023033,2189
410510080012,1643
410290021001,1793
410510092012,3738
410333604002,2672
410430308002,1979
410470103064,1049
410170019021,6438
410510079002,2980
410359718001,857
410670316093,1909
410050235005,1262
410390024011,862
410319602022,2120
410510079001,1518
410019502002,1123
